"race","state","modeldate","candidate_name","pct_estimate","pct_trend_adjusted","timestamp","contestdate"
"2020D","National","3/4/2020","Tulsi Gabbard",1.478565,NA,"07:09:06  6 Mar 2020",""
"2020D","National","3/4/2020","Michael Bloomberg",14.1966,NA,"07:09:06  6 Mar 2020",""
"2020D","National","3/4/2020","Elizabeth Warren",13.45913,NA,"07:09:06  6 Mar 2020",""
"2020D","National","3/4/2020","Bernard Sanders",25.61086,NA,"07:09:06  6 Mar 2020",""
"2020D","National","3/4/2020","Joseph R. Biden Jr.",23.01599,NA,"07:09:06  6 Mar 2020",""
"2020D","National","3/3/2020","Tulsi Gabbard",1.316018,NA,"08:30:45  3 Mar 2020",""
"2020D","National","3/3/2020","Michael Bloomberg",14.57419,NA,"08:30:45  3 Mar 2020",""
"2020D","National","3/3/2020","Elizabeth Warren",12.43878,NA,"08:30:45  3 Mar 2020",""
"2020D","National","3/3/2020","Bernard Sanders",28.93425,NA,"08:30:45  3 Mar 2020",""
"2020D","National","3/3/2020","Joseph R. Biden Jr.",18.10822,NA,"08:30:45  3 Mar 2020",""
"2020D","National","3/2/2020","Tulsi Gabbard",1.304638,NA,"23:41:11  2 Mar 2020",""
"2020D","National","3/2/2020","Amy Klobuchar",4.680612,NA,"23:41:11  2 Mar 2020",""
"2020D","National","3/2/2020","Michael Bloomberg",14.53409,NA,"23:41:11  2 Mar 2020",""
"2020D","National","3/2/2020","Elizabeth Warren",12.45786,NA,"23:41:11  2 Mar 2020",""
"2020D","National","3/2/2020","Bernard Sanders",28.96051,NA,"23:41:11  2 Mar 2020",""
"2020D","National","3/2/2020","Joseph R. Biden Jr.",18.14377,NA,"23:41:11  2 Mar 2020",""
"2020D","National","3/1/2020","Pete Buttigieg",10.18873,NA,"22:17:04  1 Mar 2020",""
"2020D","National","3/1/2020","Tulsi Gabbard",1.313425,NA,"22:17:04  1 Mar 2020",""
"2020D","National","3/1/2020","Amy Klobuchar",5.039508,NA,"22:17:04  1 Mar 2020",""
"2020D","National","3/1/2020","Michael Bloomberg",15.08226,NA,"22:17:04  1 Mar 2020",""
"2020D","National","3/1/2020","Elizabeth Warren",12.30213,NA,"22:17:04  1 Mar 2020",""
"2020D","National","3/1/2020","Bernard Sanders",28.78486,NA,"22:17:04  1 Mar 2020",""
"2020D","National","3/1/2020","Joseph R. Biden Jr.",16.66923,NA,"22:17:04  1 Mar 2020",""
"2020D","National","2/29/2020","Pete Buttigieg",10.1768,NA,"00:31:04 29 Feb 2020",""
"2020D","National","2/29/2020","Tulsi Gabbard",1.304454,NA,"00:31:04 29 Feb 2020",""
"2020D","National","2/29/2020","Tom Steyer",2.149257,NA,"00:31:04 29 Feb 2020",""
"2020D","National","2/29/2020","Amy Klobuchar",5.042671,NA,"00:31:04 29 Feb 2020",""
"2020D","National","2/29/2020","Michael Bloomberg",15.05669,NA,"00:31:04 29 Feb 2020",""
"2020D","National","2/29/2020","Elizabeth Warren",12.30045,NA,"00:31:04 29 Feb 2020",""
