Date,Vote,Candidate
2/3/2020,0.140,Biden
2/11/2020,0.087,Biden
2/22/2020,0.190,Biden
2/29/2020,0.487,Biden
3/3/2020,0.354,Biden
2/3/2020,0.270,Sanders
2/11/2020,0.268,Sanders
2/22/2020,0.406,Sanders
2/29/2020,0.200,Sanders
3/3/2020,0.313,Sanders
2/3/2020,0.207,Warren
2/11/2020,0.096,Warren
2/22/2020,0.116,Warren
2/29/2020,0.071,Warren
3/3/2020,0.136,Warren
2/3/2020,0.000,Bloomberg
2/11/2020,0.016,Bloomberg
2/22/2020,0.000,Bloomberg
2/29/2020,0.000,Bloomberg
3/3/2020,0.129,Bloomberg
2/3/2020,0.125,Klobuchar
2/11/2020,0.206,Klobuchar
2/22/2020,0.073,Klobuchar
2/29/2020,0.032,Klobuchar
3/3/2020,0.020,Klobuchar
2/3/2020,0.256,Buttigieg
2/11/2020,0.254,Buttigieg
2/22/2020,0.174,Buttigieg
2/29/2020,0.083,Buttigieg
3/3/2020,0.032,Buttigieg
2/3/2020,0.002,Steyer
2/11/2020,0.038,Steyer
2/22/2020,0.041,Steyer
2/29/2020,0.114,Steyer
3/3/2020,0.010,Steyer
