"Candidate","Total_Absolute_Sentiment","Percent_Sentiment","Total_Sentiment","Count_Tweets","Percent_Tweets","Average_Sentiment","Average_Absolute_Sentiment","Date"
"biden",4887.46894628448,0.315764867672455,3143.82331269167,13419,0.30450667150767,0.2342814898794,0.36422005710444,"3/01/2020"
"bloomberg",1085.87546133554,0.0701551918029159,238.083373724793,3606,0.0818280838703821,0.0660242300956164,0.301130188944964,"3/01/2020"
"buttigieg",3819.54454700667,0.246769440728924,2792.6380360177,8977,0.203707905963511,0.311088118081508,0.425481179347963,"3/01/2020"
"klobuchar",685.449294224306,0.0442848451960921,288.075835140331,2131,0.0483570845057638,0.13518340457078,0.321656168101505,"3/01/2020"
"sanders",2589.49557688247,0.16729962628086,772.592585065906,8605,0.195266406462739,0.0897841470152127,0.300929178022368,"3/01/2020"
"warren",2410.35721657807,0.155726028318753,859.582854588212,7330,0.166333847689934,0.11726914796565,0.328834545235754,"3/01/2020"
"biden",951.631957288103,0.155990192538726,10.7985135034398,3288,0.159720198192947,0.00328421943535273,0.289425777764021,"2/10/2020"
"bloomberg",719.982332501673,0.11801850685161,295.64591028432,2421,0.117604197027106,0.122117269840694,0.297390471913124,"2/10/2020"
"buttigieg",1097.26275685442,0.179861791521861,287.116320213186,3659,0.177742154862528,0.0784685215122127,0.299880502009953,"2/10/2020"
"klobuchar",525.586673435217,0.0861534396328882,278.763428096818,1697,0.0824346643349849,0.164268372478973,0.309715187645973,"2/10/2020"
"sanders",1183.44141118568,0.193988077192396,298.175667723169,4216,0.204799378218207,0.0707247788717194,0.280702422007989,"2/10/2020"
"steyer",96.5985033053503,0.0158342928840844,24.7285759999043,380,0.0184591469931021,0.0650751999997483,0.254206587645659,"2/10/2020"
"warren",963.248555826889,0.157894369283561,442.02895718143,3063,0.148790440104926,0.144312424806213,0.314478797201074,"2/10/2020"
"yang",562.836197887744,0.0922593300948734,312.858216146698,1862,0.0904498202662003,0.168022672474059,0.302275079424138,"2/10/2020"
"biden",1066.3147862289,0.12380958866617,136.44825319629,3701,0.136432336786228,0.0368679419606296,0.288115316462822,"2/11/2020"
"bloomberg",1901.80756906444,0.220818482392807,-405.569154577523,5406,0.199284845357024,-0.0750220411723127,0.351795702749619,"2/11/2020"
"buttigieg",1106.82798338151,0.128513567584773,462.698067890498,3436,0.126663471817746,0.134661835823777,0.322126886897994,"2/11/2020"
"klobuchar",779.299521619761,0.0904843058218396,385.92308269595,2325,0.0857079662329045,0.165988422664925,0.335182589943983,"2/11/2020"
"sanders",1707.71008354956,0.198281863607164,588.083643704894,5899,0.217458620562539,0.0996920908128317,0.28949145339033,"2/11/2020"
"steyer",132.532773225956,0.0153883528108274,47.5738126938955,457,0.0168466841154569,0.104100246594957,0.290006068328131,"2/11/2020"
"warren",1097.68405963127,0.127451868494662,546.223049648597,3320,0.122387289416449,0.164525014954397,0.330627728804601,"2/11/2020"
"yang",820.36121584478,0.0952519706217576,519.259538915306,2583,0.0952187857116526,0.201029631790672,0.317600160992946,"2/11/2020"
"biden",1191.83970773465,0.0919017755366667,140.852333213226,4368,0.106580777395505,0.0322464132814161,0.272857075946578,"2/12/2020"
"bloomberg",1134.42489098649,0.0874745664354546,-21.4620486079586,3601,0.0878657004123661,-0.0059600246064867,0.315030516797136,"2/12/2020"
"buttigieg",2078.13200225516,0.160243042388497,1136.43296455669,6694,0.163336017373057,0.169768892225379,0.310446967770415,"2/12/2020"
"klobuchar",1833.35615463452,0.141368578936036,1120.73070297069,5477,0.133640777883513,0.204624922945168,0.334737293159489,"2/12/2020"
"sanders",4090.4999062258,0.315415069472089,2058.71020762735,12352,0.301393260620257,0.166670191679676,0.331160938004032,"2/12/2020"
"steyer",212.39610861514,0.0163776885198021,66.6634259799039,709,0.0172998560378694,0.0940245782509223,0.299571380275233,"2/12/2020"
"warren",2427.97670794431,0.187219278711455,914.411454016128,7782,0.189883610277432,0.117503399385264,0.311999062958662,"2/12/2020"
"biden",570.011371093689,0.0824082840327377,94.8496411013646,1890,0.0836246183797177,0.0501849952917273,0.301593318038989,"2/13/2020"
"bloomberg",1931.72844859296,0.279275878936113,89.2948999092412,6392,0.282819344276802,0.0139697903487549,0.302210333008912,"2/13/2020"
"buttigieg",863.612178140585,0.1248550490033,319.332929534243,2825,0.124994469271271,0.113038205144865,0.305703425890473,"2/13/2020"
"klobuchar",519.428784983923,0.0750954051418378,179.359037763354,1717,0.0759700898190346,0.104460709238995,0.302521132780386,"2/13/2020"
